LogDate,LogID,Plate,SpaceID,EntryTime,ExitTime,Fee
2026-01-02,L101,WVA1234,S01,08:30,17:45,0.00
2026-01-03,L102,BKE5566,S06,09:15,18:00,0.00
2026-01-03,L103,STU1010,S02,10:00,12:00,15.00
2026-01-08,L104,PHS4433,S11,07:45,16:30,0.00
2026-01-08,L105,MNC1122,S04,08:00,19:00,0.00
2026-01-15,L106,ABC2020,S03,11:30,13:30,10.00
2026-01-16,L107,JJK7788,S09,08:50,17:20,0.00
2026-01-18,L108,LPL9900,S05,09:05,18:15,0.00
2026-01-19,L109,XYZ3030,S07,14:00,15:00,5.00
2026-01-21,L110,VBN5566,S16,10:10,20:00,0.00
2026-01-21,L111,DFG4455,S14,08:20,18:40,0.00
2026-01-27,L112,OPR4040,S12,12:00,14:00,10.00
2026-01-28,L113,KLM9900,S19,07:30,16:00,0.00
2026-01-28,L114,POU2233,S02,08:45,09:45,0.00
2026-01-29,L115,YTR5566,S01,13:00,18:00,0.00
2026-01-31,L116,TGH5050,S13,15:30,17:30,20.00
2026-02-01,L117,QWE1122,S06,09:00,18:00,0.00
2026-02-02,L118,ASD4455,S17,10:30,19:30,0.00
2026-02-10,L119,ZXC7788,S09,08:15,17:15,0.00
2026-02-10,L120,MNB9900,S20,07:00,15:00,0.002026-03-04,L121,AXX1212,S20,15:31,15:32,0.0
