SpaceID,Type,Status,Plate,Time,Date
S01,Regular,Occupied,WVA1234,08:15,2026-02-02
S02,Regular,Available,,,
S03,Regular,Available,,,
S04,Regular,Occupied,MNC1122,13:15,2026-02-15
S05,Regular,Available,,,
S06,Regular,Available,,,
S07,Reserved,Available,,,
S08,Reserved,Available,,,
S09,Reserved,Occupied,JJK7788,12:00,2026-02-16
S10,Reserved,Available,,,
S11,Electric,Occupied,PHS4433,15:30,2026-02-15
S12,Electric,Available,,,
S13,Electric,Available,,,
S14,Electric,Occupied,DFG4455,07:45,2026-02-15
S15,Electric,Available,,,
S16,Regular,Available,,,
S17,Regular,Available,,,
S18,Regular,Available,,,
S19,Reserved,Available,,,
S20,Electric,Available,,,
