RequestID,Plate,Type,Status
R501,VBN5566,Annual,Pending
R502,ASD4455,Monthly,Approved
R503,MNB9900,Annual,Pending
R504,QRT8899,Monthly,Approved
R505,JKL1234,Daily,Pending
R506,MNC1122,Monthly,Pending
R507,PHS4433,Annual,Denied
R508,BKE5566,Annual,Approved
R509,GHJ7788,Monthly,Pending
R510,WVA1234,Annual,Pending
R511,ZXC3344,Monthly,Pending
R512,RTY1122,Monthly,Approved
R513,KLM9900,Annual,Pending
R514,DFG4455,Monthly,Pending
R515,YTR5566,Annual,Pending
R516,REW8899,Monthly,Approved
R517,QWE1122,Monthly,Pending
R518,ASD4455,Annual,Pending
R519,ZXC7788,Annual,Approved
R520,MNB9900,Monthly,Pending
