IssueID,Plate,PermitID,ExpiryDate
P001,WVA1234,M01,2026-02-26
P002,BKE5566,A01,2027-01-15
P003,QRT8899,M01,2026-03-01
P004,PHS4433,M02,2026-02-15
P005,MNC1122,D01,2026-01-27
P006,JJK7788,A01,2027-02-10
P007,LPL9900,M01,2026-02-28
P008,ZXC3344,D01,2026-01-26
P009,VBN5566,M01,2026-04-12
P010,RTY1122,A02,2027-01-05
P011,DFG4455,M02,2026-02-20
P012,GHJ7788,M01,2026-03-15
P013,KLM9900,A01,2027-03-01
P014,POU2233,D01,2026-01-26
P015,YTR5566,M01,2026-02-14
P016,REW8899,D01,2026-01-27
P017,QWE1122,A01,2027-01-30
P018,ASD4455,M01,2026-03-22
P019,ZXC7788,M01,2026-02-10
P020,MNB9900,A03,2027-05-20
P021,QRT8899,A01,2027-01-21
P022,RAB37,A03,2028-10-24
P023,AXX1212,D01,2026-03-05
P024,KLP0239,A03,2007-03-04
