ViolationID,Plate,Date,Type,Status
V801,STU1010,2026-01-20,Overstay,Unpaid
V802,ABC2020,2026-01-21,Invalid Space,Paid
V803,XYZ3030,2026-01-21,No Permit,Unpaid
V804,OPR4040,2026-01-22,Overstay,Paid
V805,TGH5050,2026-01-23,Illegal Parking,Unpaid
V806,WVA1234,2026-01-24,Overdue Permit,Paid
V807,PHS4433,2026-01-24,Invalid Space,Unpaid
V808,MNC1122,2026-01-25,Overstay,Paid
V809,LPL9900,2026-01-25,No Permit,Unpaid
V810,KLM9900,2026-01-26,Overstay,Unpaid
V811,POU2233,2026-01-26,Illegal Parking,Paid
V812,GHJ7788,2026-01-26,Overdue Permit,Unpaid
V813,REW8899,2026-01-26,Invalid Space,Paid
V814,ASD4455,2026-01-26,Overstay,Unpaid
V815,ZXC3344,2026-01-26,No Permit,Unpaid
V816,VBN5566,2026-01-26,Overstay,Paid
V817,QWE1122,2026-01-26,Illegal Parking,Unpaid
V818,RTY1122,2026-01-26,Invalid Space,Paid
V819,BKE5566,2026-01-26,Overdue Permit,Unpaid
V820,JJK7788,2026-01-26,Overstay,Unpaid
